state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Uttar Pradesh,2022,SHAHABAD,,HARDOI,,,Mohd Asif Khan,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2684,false,Male,60,Yaqoob Ali Khan,,"Business, Agriculture, Pension, Cold Storage Salary","Business, Agriculture, Cold Storage Salary",0,false,Graduate,49058179,8634175,40424004,true,true,,,,,
Uttar Pradesh,2022,KANTH,,MORADABAD,,,Mohd Aslam,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1461,false,Male,52,Md. Anim,,Business,House wife,0,false,Literate,375000,0,375000,true,true,,,,,
Uttar Pradesh,2022,KOIL,,ALIGARH,,,Mohd Bilal,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=375,false,Male,43,Mohmad Umar,,Business &amp; Agriculture,House Wife,0,false,10th Pass,22482937,1900000,20582937,true,true,,,,,
Uttar Pradesh,2022,CHHIBRAMAU,,KANNAUJ,,,Mohd Chandan,Jan Adhikar Party,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2137,false,Male,33,Umardraj khan,,Property Commission Agent,Housewife,0,false,Graduate,575000,0,575000,true,true,,,,,
Uttar Pradesh,2022,MORADABAD NAGAR,,MORADABAD,,,Mohd Danish,Aazad Samaj Party (Kanshi Ram),,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1434,false,Male,45,Mohd. Rafeeq,,Wage,Work on Contract,0,false,8th Pass,1095380,0,1095380,true,true,,,,,
Uttar Pradesh,2022,NAJIBABAD,,BIJNOR,,,Mohd Danish,Aazad Samaj Party (Kanshi Ram),,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1522,false,Male,31,Anees Ahmad,,Mistri,House wife,0,false,12th Pass,2940000,0,2940000,true,true,,,,,
Uttar Pradesh,2022,LUCKNOW WEST,,LUCKNOW,,,Mohd Hanif Khan,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2303,false,Male,47,Laddan Khan,,"Business,Building Material Supply",Housewife,8,true,8th Pass,11295113,0,11295113,true,true,,,,,
Uttar Pradesh,2022,KANTH,,MORADABAD,,,Mohd Israr,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1457,false,Male,45,A. Salam,,Export Business,House wife,1,true,10th Pass,18270000,0,18270000,true,true,,,,,
Uttar Pradesh,2022,THAKURDWARA,,MORADABAD,,,Mohd Javed,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1452,false,Male,31,Sultan Ahmad,,Business &amp; Social Worker,Nil,0,false,Post Graduate,2565000,0,2565000,true,true,,,,,
Uttar Pradesh,2022,AGRA SOUTH,,AGRA,,,Mohd Kamil,Indian Union Muslim League,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=650,false,Male,33,Abdul Ajij,,Flower Shop,House Wife ,4,true,Literate,767712,0,767712,true,true,,,,,
Uttar Pradesh,2022,KANPUR CANTT.,,KANPUR NAGAR,,,Mohd Meraj,Rashtriya Ulama Council,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2236,false,Male,36,Gulam Hussain,,Business,House wife,0,false,8th Pass,292318,0,292318,true,true,,,,,
Uttar Pradesh,2022,BAREILLY CANTT.,,BAREILLY,,,Mohd Nafees,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1255,false,Male,66,Mohd. Hanif,,Business,Not Applicable,0,false,8th Pass,240000,0,240000,true,true,,,,,
Uttar Pradesh,2022,MORADABAD RURAL,,MORADABAD,,,Mohd Nasir,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=812,false,Male,50,Mohd Yusuf,,"Business, Industrial Work &amp; Agriculture","House Wife, Household Saving, Received from Sale of Family Gifts and Jewellery",0,false,Literate,606821671,13135299,593686372,true,true,,,,,
Uttar Pradesh,2022,ETAWAH,,ETAWAH,,,Mohd Rashid,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1849,false,Male,40,Naushad Husain,,Business &amp; Public Interest,Government Servant ,1,false,Post Graduate,13445984,988994,12456990,true,true,,,,,
Uttar Pradesh,2022,NAJIBABAD,,BIJNOR,,,Mohd Saleem Ansari,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1140,false,Male,54,Md. Haneef Ansari,,Business,Business,1,true,8th Pass,30382500,0,30382500,true,true,,,,,
Uttar Pradesh,2022,ALIGARH,,ALIGARH,,,Mohd Salman Imtiaz,INC,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=381,false,Male,31,Imtiyaz Ahmad,,Student,House Wife &amp; Social Worker,9,true,Post Graduate,32594,0,32594,true,true,,,,,
